№	Context	Dominant response	Number of completions	Ommitted completions or no completion	Number of unique responses	Alternative completions	Percentage of ending agreement %EA	H-statistic	Frequency (ipm)	Number of syllables	ART	ART'
81	В командировки военный брал с собой	жену	85	1	39	жену 11, чемодан 9, пистолет 7, фотографию 6, документы 4, нож 4, рюкзак 4, автомат 3, портфель 2, пулемет 2, письмо 2, флягу 2, бритву 2, вещи 2, телефон 1, еду 1, книгу 1, фотографии 1, оружие 1, паланшет 1, вино 1, дневник 1, паспорт 1, кошелек 1, мишку 1, разговорник 1, письма 1, сухари 1, билеты 1, шинель 1, самое необходимое 1, семью 1, полотенце 1, фотографию жены 1, собаку 1, штаны 1, фотоаппарат 1, бумажник 1, шубу 1	12.941176	4.732930	376.8	2	2355.282353	2273.670588
82	По заданию педагога студент чертит	чертеж	86	0	26	чертеж 27, круг 13, окружность 7, квадрат 5, график 5, треугольник 5, чертежи 2, линию 2, проект 2, схему 2, прямоугольник 1, инж. Граф 1, круги 1, карту 1, макет 1, графмк 1, модель 1, диаграмму 1, дом 1, интеграмму 1, планометрическую проекцию 1, проекции 1, деталь 1, на бумаге 1, колесо 1, параллелепипед 1	31.395349	3.647566	17.0	2	2430.406977	2334.244186
83	Перед праздником секретарша украсила	кабинет	86	0	17	кабинет 29, офис 16, стол 12, елку 11, дверь 3, зал 2, комнату 2, окна 2, себя 1, начальника 1, стены 1, сад 1, свою голову 1, стену 1, замок 1, рабочее место 1, свой дом 1	33.720930	2.976153	148.5	3	2209.209302	2020.348837
84	Кладовщик убрал ключи в	магазине	83	3	61	магазине 6, квартире 3, комнате 3, подсобке 3, кладовку 3, доме 3, понедельник 3, сейфе 2, - 2, офис 2, сарай 2, школе 2, кладовую 1, поле 1, шкатулке 1, комнаты 1, сто пятой комнате 1, сторожке 1, конверте 1, подъезде 1, пути 1, помещении 1, сарае 1, шкафу 1, карман 1, банке 1, раздевалке 1, подвале 1, организации 1, музее 1, полночь 1, банки 1, учительскую 1, кармане 1, подвал 1, подсобку 1, столовой 1, NR 1, каморку 1, гараже 1, кабинете 1, фирме 1, рабочее время 1, я не понимаю, что это 1, дом 1, бардачке 1, комнату 1, бухгалтерии 1, тюрьме 1, ключнице 1, серверную 1, машине 1, офис(е) 1, коморке 1, ключница 1, гараж 1, склад 1, столе 1, сторожевой 1, пятницу 1, кладовке 1	7.228916	5.723966	147.2	4	2994.385542	2892.746988
85	Во дворе мальчишки весело играют в	футбол	86	0	21	футбол 24, прятки 20, мяч 9, догонялки 6, классики 4, салки 3, хоккей 2, игру 2, бадминтон 2, шахматы 2, волейбол 2, баскетбол 1, снежки 1, волейболл 1, войну 1, лапту 1, пол 1, покер 1, грязи 1, футбол" 1, бильярд 1	27.906977	3.364967	27.4	2	1190.081395	1099.627907
86	Неловкий официант споткнулся и пролил чай на	посетителя	86	0	27	посетителя 17, скатерть 13, клиента 9, пол 8, гостя 5, себя 4, стол 4, брюки 3, посетителей 2, женщину 2, гостей 2, штаны 2, платье 1, мужчину 1, рубашку 1, юбку 1, вино 1, голову человека 1, нас 1, паркет 1, девушку 1, голову соседу 1, ковер 1, посетительницу 1, ноги 1, пальто 1, борщ 1	19.767442	3.978748	36.2	5	1421.546512	1332.813953
87	Троечник неожиданно удачно написал контрольную работу по	математике	85	1	15	математике 53, физике 5, геометрии 5, алгебре 4, русскому 4, биологии 2, географии 2, русскому языку 2, истории 2, химии 1, естествознанию 1, информатике 1, электродинамике 1, английскому 1, NR 1	62.352941	2.282343	28.0	5	1272.258824	1179.152941
88	Бухгалтер нещадно критикует себя за	ошибку	86	0	37	ошибку 22, ошибки 8, оплошность 6, невнимательность 4, отчет 4, работу 3, медлительность 3, неточности 2, лень 2, просчет 2, провал 2, все 2, тупость 2, поведение 1, глупость 1, что-то 1, недостачу 1, халатность 1, неаккуратность 1, недосдачу 1, неправильные расчеты 1, проказы 1, невежество 1, безответственность 1, недобросовестность 1, дибилизм 1, непослушание 1, годовой отчет 1, недосчет 1, расчет 1, косяки 1, нерасторопность 1, опоздание 1, неудачу 1, расторопность 1, несправедливость 1, работой 1	25.581395	4.389904	104.4	3	2018.581395	1891.651163
89	Консьержка раз в месяц мыла	пол	86	0	19	пол 20, окна 20, полы 17, подъезд 9, посуду 3, раму 2, парадную 2, лестницу 2, стойку 1, полы в подъезде 1, руки 1, лифт 1, вазу 1, окно 1, площадку 1, мужа-инвалида 1, голову 1, лестничную клетку 1, ноги 1	23.255814	3.151286	181.9	1	2050.348837	1945.558140
90	Семейная пара мечтала следующим летом отдохнуть в	Турции	86	0	47	Турции 11, Крыму 8, горах 7, Испании 6, санатории 3, Египте 3, Сочи 3, италии 3, Китае 2, крыму 2, деревне 2, Бали 1, новосибирске 1, Тебете 1, Франции 1, праге 1, Норвегии 1, сочи 1, коттедже 1, голландии 1, Азии 1, саду 1, Японии 1, одессе 1, америке 1, англии 1, Италии 1, Лондоне 1, исландии 1, нью-йорке 1, болгарии 1, другой стране 1, лесу 1, Волгограде 1, Новой Зеландии 1, Африке 1, Карелию 1, Европе 1, Таиланде 1, Анапе 1, Ялте 1, парижа 1,  турции 1, городе 1, пансионате 1, Грузии 1, одиночестве 1	12.790698	5.004933	NA	3	1840.802326	1735.104651
91	В зоопарке дети впервые увидели	слона	85	1	33	слона 23, жирафа 15, зебру 7, льва 5, крокодила 3, тигра 3, обезьяну 2, слонов 2, леопарда 1, гиппопотама 1, лошадь 1, свиней 1, пингвина 1, кенгуру 1, енота 1, мамонта 1, верблюда 1, стрекозу 1, игуану 1, мангуста 1, животное 1, учительницу такую 1, ламу 1, лося 1, шимпанзе 1, - 1, панду 1, взрослых 1, змею 1, рысь 1, медведя 1, фламинго 1, носорога 1	27.058824	3.969201	23.8	2	1725.082353	1616.129412
92	На рынке фермер недорого продавал 	овощи	85	1	40	овощи 11, огурцы 7, помидоры 5, молоко 5, фрукты 5, капусту 5, картошку 4, рыбу 4, зелень 2, мясо 2, арбузы 2, морковку 2, яблоки 2, картофель 2, дыни 2, кур 1, репу 1, козу 1, бананы 1, тыкву 1, пряники 1, мандарины 1, овес 1, капустку 1, колбасу 1, удочки 1, корову 1, клубнику 1, кабачки 1, мебель 1, тыквы 1, свинину 1, эскимо 1, укроп 1, шерсть 1, чеснок 1, булки 1, поросят 1, яиц 1, ягоды 1	12.941176	4.831229	1.6	3	1917.282353	1775.082353
