№	Context	ART	min RT	max RT	stdev RT	ART'	min ART'	max ART'	stdev ART'
73	Музыкант играл на старинной	2722.059524	1273.000000	10621.000000	1590.480607	2646.095238	1027.000000	10104.000000	1567.112175
74	В сентябре директор школы взял на работу нового 	1857.046512	846.000000	4174.000000	640.521202	1643.825581	526.000000	4174.000000	709.500656
75	Школьники боялись заблудиться в незнакомом	2134.788235	456.000000	4356.000000	680.068030	1903.882353	456.000000	4356.000000	731.169145
76	Ровно в девять вечера бабушка ложится в тёплую	1799.788235	331.000000	3793.000000	543.803035	1645.447059	331.000000	3364.000000	585.242654
77	Зрители отзывались о пьесе с искренним	2862.865854	1299.000000	13102.000000	1710.385739	2628.731707	697.000000	12454.000000	1674.018157
78	Мама увлечённо выращивала комнатные	1866.447059	1128.000000	3889.000000	505.438742	1611.352941	399.000000	3889.000000	599.092482
79	За чаем друг рассказывал смешные	1760.988372	859.000000	3757.000000	546.622732	1601.476744	404.000000	3587.000000	558.855947
80	Девочка гладила пушистую	2567.614458	220.000000	8396.000000	1354.930291	2415.710843	220.000000	8396.000000	1351.234887
81	В командировки военный брал с собой	3167.638554	818.000000	9469.000000	1784.845854	3114.831325	818.000000	9469.000000	1789.983655
82	По заданию педагога студент чертит	3657.000000	840.000000	11961.000000	2172.058246	3515.870588	840.000000	11961.000000	2199.573984
83	Перед праздником секретарша украсила	3056.892857	1362.000000	7122.000000	1207.970308	2845.619048	669.000000	7000.000000	1300.268943
84	Кладовщик убрал ключи в	4949.532468	972.000000	19263.000000	3584.602355	4758.831169	972.000000	19263.000000	3549.580025
85	Во дворе мальчишки весело играют в	1170.717647	509.000000	3284.000000	543.301999	1057.635294	21.000000	3284.000000	586.038473
86	Неловкий официант споткнулся и пролил чай на	1795.952941	601.000000	5019.000000	838.996863	1694.752941	413.000000	5019.000000	859.165208
87	Троечник неожиданно удачно написал контрольную работу по	1604.752941	441.000000	5855.000000	993.357066	1384.258824	63.000000	5753.000000	866.076486
88	Бухгалтер нещадно критикует себя за	2586.304878	50.000000	8467.000000	1783.997161	2443.670732	50.000000	8238.000000	1769.928317
89	Консьержка раз в месяц мыла	2256.036145	1053.000000	6355.000000	992.110038	2122.674699	546.000000	6083.000000	1001.474378
90	Семейная пара мечтала следующим летом отдохнуть в	2638.290698	586.000000	11584.000000	2006.293691	2412.232558	174.000000	10888.000000	2026.836060
91	В зоопарке дети впервые увидели	2146.686047	1054.000000	5374.000000	875.683723	1930.860465	0.000000	5374.000000	942.569893
92	На рынке фермер недорого продавал 	2472.650602	1166.000000	7133.000000	1034.351292	2252.072289	820.000000	7133.000000	1058.700674
93	Посетители радостно фотографировались на фоне	3117.070588	1226.000000	9407.000000	1630.973554	2843.976471	573.000000	8906.000000	1656.676075
94	Депутат обвинил мэра в	2585.741176	598.000000	10923.000000	1847.485222	2487.929412	160.000000	10923.000000	1892.878677
95	Выходя из дома, я забыла взять 	2134.500000	259.000000	4450.000000	803.504395	1992.702381	259.000000	4110.000000	788.606194
96	Директор ещё не вернулся из	1772.682353	531.000000	9576.000000	1263.251994	1555.200000	236.000000	8747.000000	1273.037900
97	В этом кафе студент всегда заказывал	2688.837209	1123.000000	8616.000000	1051.626537	2544.860465	832.000000	8616.000000	1131.824422
98	Графиня хранила драгоценности в 	1342.975610	381.000000	8909.000000	1089.037903	1069.975610	0.000000	8909.000000	1103.083825
99	На праздник мама подарила сыну	2657.795181	1059.000000	7313.000000	1032.718243	2488.373494	712.000000	7313.000000	1066.738015
100	Художник изобразил на картине	3451.223529	133.000000	9351.000000	1578.064557	3268.964706	133.000000	8855.000000	1579.284516
101	Мы вернулись в кафе и забрали забытый	2691.047059	1230.000000	7098.000000	1069.425445	2463.800000	889.000000	7098.000000	1094.826838
102	Наместник императора прославился своей	2981.714286	97.000000	9664.000000	1836.776624	2728.948052	97.000000	9664.000000	1870.188577
103	Туристы восхищались живописной	2840.348837	1157.000000	9069.000000	1325.709486	2590.604651	873.000000	9069.000000	1342.037619
104	Девушка надела бордовые	2752.094118	1247.000000	8808.000000	1188.682230	2554.552941	545.000000	8808.000000	1230.144954
105	Дошкольник взял фломастер и нарисовал оранжевый	3143.470588	0.000000	10622.000000	1566.106794	2925.200000	0.000000	10622.000000	1600.225608
106	Сестра волновалась перед важным	2173.800000	970.000000	8215.000000	1019.801426	2079.223529	423.000000	8215.000000	1076.195253
107	Из шкафа мама достала старую	2606.638554	1121.000000	5559.000000	882.597643	2453.650602	447.000000	5559.000000	909.098648
108	Вернувшись в офис после отпуска, секретарша заметила новый	3639.305882	0.000000	10848.000000	2033.338318	3398.764706	0.000000	10848.000000	2010.950916
109	На кухне дочка доедает вкусный	1981.465116	1077.000000	9609.000000	1059.968598	1818.034884	385.000000	9609.000000	1126.645750
110	Прохожие еле разминулись на узкой	1976.411765	1021.000000	4705.000000	586.331925	1744.882353	459.000000	4705.000000	735.649622
111	В киоске продавались сувениры из светло-серой	4219.506494	1771.000000	10909.000000	1870.782426	4042.311688	1599.000000	10909.000000	1914.569941
112	Ассистент обратился за помощью к своей	3673.694118	391.000000	10161.000000	1865.150007	3451.376471	391.000000	10161.000000	1872.430849
113	Лектор увлечённо рассказывал о недавнем	2991.320988	1136.000000	9652.000000	1599.399667	2829.160494	834.000000	8859.000000	1589.242889
114	Андрей устал нести тяжёлый	2085.837209	1025.000000	4916.000000	800.244608	1938.488372	580.000000	4916.000000	846.095805
115	Грабители украли из квартиры ценный	3612.512821	1300.000000	11284.000000	2044.786489	3403.487179	1116.000000	10875.000000	2090.948040
116	Моя крестница живёт прямо напротив местного	3816.476190	1409.000000	10004.000000	1952.589979	3622.845238	1180.000000	10004.000000	1966.066678
117	Ирина зашла на вещевой рынок и купила недорогую	2863.729412	0.000000	9237.000000	1436.197048	2667.670588	0.000000	9237.000000	1458.481128
118	Парижанин с гостьей гуляли по окрестным	3123.012500	1514.000000	8585.000000	1218.553661	2978.025000	747.000000	8585.000000	1236.034144
119	Анна обожала посещать субботние	3006.564706	1356.000000	7960.000000	1216.175146	2847.341176	976.000000	7960.000000	1227.647989
120	Всю жизнь дедушка собирал антикварные	3043.988095	251.000000	8558.000000	1227.713022	2924.547619	251.000000	8558.000000	1269.057675
